run_dir,method,scheme,tp,fp,fn,tn,tol_pred_match,tol_pred_total,tol_gt_match,tol_gt_total,valid_pixels,fault_pixels,stem,dice,iou,precision,recall,specificity,tolerant_precision,tolerant_recall,tolerant_f1
CRACKS35,real,primary,0,833,0,82799,0,833,0,0,83632,0,section_251,0.0,0.0,0.0,0.0,0.9900396977232412,0.0,0.0,0.0
CRACKS35,real,primary,0,701,0,78181,0,701,0,0,78882,0,section_256,0.0,0.0,0.0,0.0,0.9911133084859676,0.0,0.0,0.0
CRACKS35,real,primary,0,828,0,75123,0,828,0,0,75951,0,section_261,0.0,0.0,0.0,0.0,0.9890982343878305,0.0,0.0,0.0
CRACKS35,real,primary,0,816,0,75087,0,816,0,0,75903,0,section_262,0.0,0.0,0.0,0.0,0.9892494367810246,0.0,0.0,0.0
CRACKS35,real,primary,0,768,0,77684,0,768,0,0,78452,0,section_267,0.0,0.0,0.0,0.0,0.9902105746187491,0.0,0.0,0.0
CRACKS35,real,primary,0,1389,0,85849,0,1389,0,0,87238,0,section_277,0.0,0.0,0.0,0.0,0.9840780393863932,0.0,0.0,0.0
CRACKS35,real,primary,0,1274,0,107962,0,1274,0,0,109236,0,section_284,0.0,0.0,0.0,0.0,0.9883371782195441,0.0,0.0,0.0
CRACKS35,real,primary,0,371,0,78702,0,371,0,0,79073,0,section_287,0.0,0.0,0.0,0.0,0.9953081329909078,0.0,0.0,0.0
CRACKS35,real,primary,0,434,0,91354,0,434,0,0,91788,0,section_300,0.0,0.0,0.0,0.0,0.9952717130778539,0.0,0.0,0.0
CRACKS35,real,inclusive_uncertain,687,1678,12643,67431,688,2365,936,13330,82439,13330,section_010,0.08754380375910319,0.04577558635391406,0.29048625792689015,0.05153788447107911,0.9757195155477615,0.2909090909078609,0.07021755438854446,0.11312886829790365
CRACKS35,real,inclusive_uncertain,626,1940,11047,60661,626,2566,993,11673,74274,11673,section_013,0.08792752300014893,0.04598545507966944,0.24395946999125503,0.05362803049768386,0.9690100797110319,0.24395946999125503,0.08506810588530363,0.1261485110414092
CRACKS35,real,inclusive_uncertain,339,591,14414,66211,339,930,859,14753,81555,14753,section_017,0.04323152458072867,0.02209332638163315,0.3645161290283385,0.022978377279181873,0.9911529594920825,0.3645161290283385,0.058225445672027226,0.10041176376040976
CRACKS35,real,inclusive_uncertain,54,1951,13254,72815,54,2005,133,13308,88074,13308,section_022,0.007052830927965093,0.003538895078312118,0.02693266832904273,0.004057709648328781,0.9739052510498123,0.02693266832904273,0.009993988578291257,0.014578341464655777
CRACKS35,real,inclusive_uncertain,439,1501,9287,75511,439,1940,678,9726,86738,9726,section_024,0.07526144351099326,0.03910216442501193,0.226288659792648,0.04513674686402926,0.9805095309820573,0.226288659792648,0.06971005552121148,0.10658556060496265
CRACKS35,real,inclusive_uncertain,907,2573,11818,53738,907,3480,1531,12725,69036,12725,section_035,0.1119407590249232,0.05928879592099667,0.26063218390729703,0.07127701375239978,0.9543073289408901,0.26063218390729703,0.12031434184666379,0.16463092181060235
CRACKS35,real,inclusive_uncertain,513,2270,14204,53990,513,2783,864,14717,70977,14717,section_041,0.058628571428537925,0.030199564372737856,0.18433345310749433,0.0348576476183768,0.9596516174900535,0.18433345310749433,0.05870761704147672,0.08905307503023456
CRACKS35,real,inclusive_uncertain,169,2278,12808,59115,169,2447,394,12977,74370,12977,section_043,0.02191390041492355,0.011078334972133019,0.06906416019587633,0.013023040764419338,0.9628947925657709,0.06906416019587633,0.03036140864604272,0.04217999462365084
CRACKS35,real,inclusive_uncertain,82,1988,10593,63693,82,2070,176,10675,76356,10675,section_046,0.012867791290692139,0.00647555871435957,0.03961352656985694,0.007681498829032616,0.9697324949375056,0.03961352656985694,0.016487119437923664,0.023283611650602217
CRACKS35,real,inclusive_uncertain,323,1677,8351,68741,323,2000,534,8674,79092,8674,section_051,0.0605208918867711,0.03120471452030605,0.1614999999991925,0.03723772192755679,0.9761850663181323,0.1614999999991925,0.06156329259849946,0.08914484488324638
CRACKS35,real,inclusive_uncertain,739,1887,12312,60246,739,2626,1171,13051,75184,13051,section_067,0.09427824201052862,0.04947114740925862,0.2814166031977098,0.05662401348551327,0.9696296653950446,0.2814166031977098,0.08972492529301224,0.13606713924186092
CRACKS35,real,inclusive_uncertain,646,2184,11045,63458,646,2830,1113,11691,77333,11691,section_068,0.08897458852689967,0.046558558558525,0.22826855123594253,0.055256179967449096,0.9667286188719164,0.22826855123594253,0.09520143700274125,0.13436482034516378
CRACKS35,real,inclusive_uncertain,460,1814,12741,62352,460,2274,809,13201,77367,13201,section_106,0.059450726978959964,0.030636030636010232,0.20228671943622567,0.034845845011715136,0.9717295764110321,0.20228671943622567,0.061283236118429445,0.0940682658188689
CRACKS35,real,inclusive_uncertain,277,2004,9545,73259,277,2281,623,9822,85085,9822,section_108,0.04577377509704555,0.023422966345320966,0.12143796580393934,0.028201995520231924,0.9733733707132358,0.12143796580393934,0.06342903685597288,0.08333226245033326
CRACKS35,real,inclusive_uncertain,718,1834,11609,57266,718,2552,1187,12327,71427,12327,section_116,0.09651186235627628,0.05070263399473857,0.2813479623813427,0.05824612638917965,0.9689678510996669,0.2813479623813427,0.09629269084116468,0.14347900000596966
CRACKS35,real,inclusive_uncertain,665,3591,9915,69379,665,4256,915,10580,83550,10580,section_124,0.08964680506869126,0.04692682238370833,0.15624999999963288,0.06285444234398596,0.9507879950663354,0.15624999999963288,0.0864839319469882,0.11134095428365585
CRACKS35,real,inclusive_uncertain,825,2850,9767,78724,825,3675,1203,10592,92166,10592,section_131,0.11565150346946404,0.061374795417302945,0.2244897959177565,0.07788897280959413,0.9650623973323651,0.2244897959177565,0.11357628398780817,0.1508386530020947
CRACKS35,real,inclusive_uncertain,516,2763,9352,76421,516,3279,794,9868,89052,9868,section_133,0.07849699551222446,0.04085187237745162,0.15736505031973966,0.05229023104980513,0.9651065871892094,0.15736505031973966,0.08046209971617302,0.1064800367523666
CRACKS35,real,inclusive_uncertain,686,2260,10485,73754,686,2946,967,11171,87185,11171,section_136,0.09718778777353744,0.051075869257649405,0.2328581126943895,0.06140900546051257,0.9702686347250546,0.2328581126943895,0.08656342314914818,0.1262093656809862
CRACKS35,real,inclusive_uncertain,1046,853,11610,82764,1046,1899,1764,12656,96273,12656,section_167,0.1437306767432884,0.07742986157370832,0.5508162190597641,0.08264854614405606,0.9897987251395064,0.5508162190597641,0.1393805309733412,0.22246716161807456
CRACKS35,real,inclusive_uncertain,904,729,10061,65818,904,1633,1473,10965,77512,10965,section_168,0.14351484362585845,0.07730460064983982,0.5535823637443137,0.08244414044680123,0.9890453363786513,0.5535823637443137,0.134336525307675,0.21620668168734347
CRACKS35,real,inclusive_uncertain,480,550,13413,84100,480,1030,842,13893,98543,13893,section_178,0.06433022850628939,0.033234092640010225,0.46601941747120373,0.034549773267088066,0.9935026580034266,0.46601941747120373,0.060606060606016976,0.10726256779542372
CRACKS35,real,inclusive_uncertain,218,333,12567,73044,218,551,615,12785,86162,12785,section_193,0.03269346130771394,0.016618386949217395,0.39564428311441663,0.017051231912384,0.9954617932048196,0.39564428311441663,0.04810324599135854,0.08577748651442513
CRACKS35,real,inclusive_uncertain,189,145,13061,71182,189,334,477,13250,84577,13250,section_196,0.027826855123654425,0.014109742441198872,0.5658682634561117,0.01426415094338546,0.9979671092291842,0.5658682634561117,0.035999999999972825,0.06769340861722972
